State,Sales
Alabama,6139.09
Arizona,8295.235
Arkansas,6302.69
California,91303.531
Colorado,6502.294
Connecticut,2794.02
Delaware,4786.03
Florida,34248.2605
Georgia,4540.1
Idaho,465.216
Illinois,16202.707
Indiana,2936.81
Iowa,1190.84
Kansas,1319.79
Kentucky,8280.460000000001
Louisiana,2534.92
Maine,617.12
Maryland,1701.25
Massachusetts,9900.106
Michigan,6172.251
Minnesota,15883.33
Mississippi,2055.16
Missouri,1648.03
Montana,424.488
Nebraska,210.01999999999998
Nevada,2561.21
New Hampshire,504.48
New Jersey,4192.28
New Mexico,708.012
New York,64788.487
North Carolina,8620.741
Ohio,14134.85
Oklahoma,2639.35
Oregon,4807.783
Pennsylvania,20246.148
Rhode Island,5015.686
South Carolina,2270.86
South Dakota,162.15
Tennessee,3051.512
Texas,50625.1766
Utah,2943.688
Virginia,25802.05
Washington,29871.576
Wisconsin,4847.71
