Order Date,Profit,Sales
2014-03-31,37.650619999999996,559.6798
2014-06-30,85.94875609756097,664.5034878048781
2014-09-30,52.121772,534.85988
2014-12-31,96.14960895522388,809.0407268656717
2015-03-31,46.55999714285715,636.5639828571428
2015-06-30,50.27135714285714,542.2877857142857
2015-09-30,109.57546530612245,719.4289836734694
2015-12-31,67.2825868852459,602.1379639344262
2016-03-31,32.608168,389.56298000000004
2016-06-30,107.8428088888889,616.160488888889
2016-09-30,54.431451612903224,708.3097064516129
2016-12-31,145.6064652173913,1104.1666086956523
2017-03-31,119.07637021276595,782.0236765957447
2017-06-30,136.00182592592594,804.6114148148148
2017-09-30,143.591403125,859.56878125
2017-12-31,102.07898289473684,910.5305421052632
