State,Sales
Alabama,3891.97
Arizona,9611.21
Arkansas,443.61
California,88443.8445
Colorado,4639.2699999999995
Connecticut,1284.64
Delaware,6190.336
District of Columbia,2670.19
Florida,15177.4485
Georgia,11338.050000000001
Idaho,1500.2359999999999
Illinois,18578.064
Indiana,6640.32
Iowa,1713.2
Kansas,170.31
Kentucky,7673.56
Louisiana,917.8
Maine,106.08000000000001
Maryland,7843.11
Massachusetts,6625.988
Michigan,16843.679
Minnesota,5724.19
Mississippi,302.15999999999997
Missouri,6985.210000000001
Montana,935.584
Nebraska,594.14
Nevada,1948.462
New Hampshire,4345.034
New Jersey,4105.089999999999
New Mexico,1192.872
New York,80320.687
North Carolina,8558.298
Ohio,16110.426
Oklahoma,2808.34
Oregon,4285.937
Pennsylvania,20510.816
Rhode Island,1099.56
South Carolina,4147.62
Tennessee,8366.044
Texas,34454.959
Utah,3993.32
Vermont,5120.099999999999
Virginia,10543.42
Washington,23415.514
Wisconsin,8361.81
