Order Date,Profit,Sales
2014-03-31,-18.163617647058835,625.9801176470588
2014-06-30,89.97734615384616,440.0997692307692
2014-09-30,57.530567647058824,427.5603470588235
2014-12-31,104.22991999999999,631.1335
2015-03-31,20.244878571428575,400.65054285714285
2015-06-30,11.975226829268296,336.92746341463413
2015-09-30,62.27448947368421,410.7535263157895
2015-12-31,161.00858913043479,728.7437217391304
2016-03-31,169.7028047619048,604.1010952380952
2016-06-30,61.80432105263157,619.0915526315789
2016-09-30,2.57082558139535,481.5571162790697
2016-12-31,62.30057924528302,674.0417169811321
2017-03-31,65.743703125,704.6033562499999
2017-06-30,64.93414642857142,618.9054196428572
2017-09-30,111.02589787234042,754.5763829787234
2017-12-31,109.4967515625,832.7544375
