Subcategory,Profit,Sales,Sales Percentage,Profit Percentage
Accessories,12707.4805,48190.564,6.8244440905902,13.815612245272934
Appliances,7429.8952,36588.683,5.181458791016184,8.077805124801458
Art,2004.6477,8590.448,1.216525129050625,2.1794592021273003
Binders,6377.3201,51560.313,7.301646715772636,6.933442208751389
Bookcases,638.4502000000001,34005.9243,4.81570477436605,0.6941250392724944
Chairs,8344.6565,99140.878,14.039706590755483,9.07233644969956
Copiers,18990.2789,46829.386000000006,6.631682637158335,20.646290168376673
Envelopes,2571.229,5942.67,0.8415634887325175,2.7954481502293773
Fasteners,251.903,783.29,0.1109245953568503,0.2738697235396889
Furnishings,3508.2077,25001.266,3.540521792004212,3.8141343013731794
Labels,1760.8273,4101.646,0.5808492676365632,1.9143769063970533
Machines,703.0189999999998,60276.755000000005,8.53601432138672,0.7643244390624507
Paper,10361.5468,23883.13,3.38217841553582,11.265105844549483
Phones,11766.2196,91153.414,12.90857225720417,12.792270472996629
Storage,9131.0247,79790.998,11.299498482387433,9.927278397728772
Supplies,338.9264,19435.284,2.7523024848337996,0.36848183415164576
Tables,-4906.4986,70871.7175,10.036406166212394,-5.334360508330074
