Subcategory,Profit,Sales,Sales Percentage,Profit Percentage
Accessories,8493.2327,32084.516,7.467538900160068,14.085271702927955
Appliances,3726.1820000000002,18123.897,4.218262350287421,6.179541729094446
Art,1068.8382,4276.414,0.9953177382569558,1.772573175048936
Binders,5848.846,33691.411,7.841537090470081,9.699791347831944
Bookcases,324.63199999999995,12241.342999999999,2.849122144859599,0.5383733243838834
Chairs,5010.1779,56445.483,13.137453594151888,8.30893483013894
Copiers,12543.8354,32879.574,7.652585373757595,20.80283633413293
Envelopes,1128.5351,2762.5860000000002,0.6429805087300553,1.871575178882237
Fasteners,120.8144,560.048,0.13034886441661905,0.20035994652851308
Furnishings,1631.5131999999999,17083.852,3.97619616186753,2.7057196618330535
Labels,709.4383,1675.404,0.3899433777802282,1.1765403780781034
Machines,540.6760999999998,49419.051,11.50208049738055,0.8966632660117084
Paper,8157.3789,18271.708,4.25266475150711,13.528288020441442
Phones,8912.3963,68920.876,16.041049912147916,14.78041728559607
Storage,5043.6013,43560.208,10.138458929505552,8.364364568951542
Supplies,129.5254,1496.758,0.3483642573609582,0.21480636594714092
Tables,-3090.9447,36160.0195,8.416095547359873,-5.126057115828832
